"y","x","date","subcat","cat"
31.251325,29.978925,"2011-07-19 13:20:00",109,108
30.72972,31.79722,"2011-07-19 13:22:00",114,113
30.932487,31.278423,"2011-07-19 13:32:00",114,113
30.957185,31.250979,"2011-07-19 13:39:00",37,32
31.028759,30.714889,"2011-07-19 13:19:00",114,113
31.171387,31.696744,"2011-07-19 13:48:00",115,113
30.082239,31.220831,"2011-07-19 13:08:00",109,108
31.228408,29.998459,"2011-07-19 13:24:00",104,101
29.620468,31.25721,"2011-07-19 13:45:00",114,113
29.986506,31.201102,"2011-07-19 22:17:00",114,113
29.827017,31.258596,"2011-07-19 22:31:00",104,101
30.047635,31.234559,"2011-07-19 23:02:00",104,101
30.05184,31.216732,"2011-07-19 13:14:00",22,101
31.19806,29.91917,"2011-07-20 13:48:00",43,32
30.962808,31.239515,"2011-07-20 00:58:00",114,113
31.19806,29.91917,"2011-07-20 01:16:00",31,118
30.07095,31.248983,"2011-07-20 01:32:00",114,113
30.60528,32.27722,"2011-07-20 01:09:00",117,113
28.35,28.86667,"2011-07-20 13:23:00",104,101
26.546742,29.895284,"2011-07-20 13:32:00",104,101
30.338126,31.217533,"2011-07-21 01:24:00",22,101
29.985115,31.205683,"2011-07-21 10:36:00",104,101
30.148763,31.252417,"2011-07-14 10:36:00",104,101
30.46667,30.93333,"2011-07-21 13:12:00",109,108
30.008858,31.431566,"2011-07-21 13:58:00",104,101
31.19806,29.91917,"2011-07-21 13:09:00",104,101
31.320134,30.060605,"2011-07-21 13:22:00",43,32
30.708429,31.245875,"2011-07-21 13:35:00",109,108
30.043325,31.333901,"2011-07-13 07:00:00",104,101
30.59139,31.51028,"2011-07-22 01:51:00",31,118
30.041401,31.398694,"2011-07-22 13:31:00",35,34
31.19806,29.91917,"2011-07-22 13:27:00",22,101
30.03698,31.013228,"2011-07-22 13:15:00",22,101
31.145327,29.731185,"2011-07-22 13:19:00",43,32
31.218157,29.935149,"2011-07-22 22:35:00",43,32
31.03333,30.46667,"2011-07-22 23:42:00",26,111
30.992188,31.164279,"2011-07-23 01:14:00",43,32
30.428193,30.969722,"2011-07-23 13:26:00",114,113
31.210934,29.939718,"2011-07-24 13:10:00",22,101
30.119387,31.318419,"2011-07-24 03:33:00",109,108
31.19806,29.91917,"2011-07-24 13:20:00",104,101
29.989386,31.190232,"2011-07-26 10:30:00",43,32
31.550416,31.093283,"2011-07-26 10:31:00",110,108
29.991254,31.179332,"2011-07-26 11:57:00",110,108
30.130091,31.325891,"2011-07-26 13:13:00",39,32
